 _ _ _ _| _ _ _ _| _ _ _*_| _ _ _12_|,D
 _ _ _ _| _ _ _ _| _ _ _12_| _ _ _*_|,U
 _ _ _ _| _ _ _ _| _*_10_ _| _11_14_15_|,D
 _ _ _ _| _ _ _ _| _*_10_ _| _11_15_14_|,R
 _ _ _ _| _ _ _ _| _*_10_ _| _14_11_15_|,R
 _ _ _ _| _ _ _ _| _*_10_ _| _14_15_11_|,R
 _ _ _ _| _ _ _ _| _*_10_ _| _15_11_14_|,R
 _ _ _ _| _ _ _ _| _*_10_ _| _15_14_11_|,D
 _ _ _ _| _ _ _ _| _*_10_11_| _14_15_ _|,R
 _ _ _ _| _ _ _ _| _*_10_11_| _14_o_15_|,R
 _ _ _ _| _ _ _ _| _*_10_11_| _15_14_ _|,R
 _ _ _ _| _ _ _ _| _*_10_11_| _15_o_14_|,R
 _ _ _ _| _ _ _ _| _*_10_11_| _o_14_15_|,R
 _ _ _ _| _ _ _ _| _*_10_11_| _o_15_14_|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _11_15_ _|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _11_o_15_|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _15_11_ _|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _15_o_11_|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _o_11_15_|,R
 _ _ _ _| _ _ _ _| _*_10_14_| _o_15_11_|,D
 _ _ _ _| _ _ _ _| _*_10_15_| _11_14_ _|,R
 _ _ _ _| _ _ _ _| _*_10_15_| _11_o_14_|,R
 _ _ _ _| _ _ _ _| _*_10_15_| _14_11_ _|,R
 _ _ _ _| _ _ _ _| _*_10_15_| _14_o_11_|,R
 _ _ _ _| _ _ _ _| _*_10_15_| _o_11_14_|,R
 _ _ _ _| _ _ _ _| _*_10_15_| _o_14_11_|,R
 _ _ _ _| _ _ _ _| _*_11_ _| _10_14_15_|,D
 _ _ _ _| _ _ _ _| _*_11_ _| _10_15_14_|,D
 _ _ _ _| _ _ _ _| _*_11_ _| _14_10_15_|,R
 _ _ _ _| _ _ _ _| _*_11_ _| _14_15_10_|,D
 _ _ _ _| _ _ _ _| _*_11_ _| _15_10_14_|,D
 _ _ _ _| _ _ _ _| _*_11_ _| _15_14_10_|,D
 _ _ _ _| _ _ _ _| _*_11_10_| _14_15_ _|,R
 _ _ _ _| _ _ _ _| _*_11_10_| _14_o_15_|,D
 _ _ _ _| _ _ _ _| _*_11_10_| _15_14_ _|,R
 _ _ _ _| _ _ _ _| _*_11_10_| _15_o_14_|,D
 _ _ _ _| _ _ _ _| _*_11_10_| _o_14_15_|,D
 _ _ _ _| _ _ _ _| _*_11_10_| _o_15_14_|,D
 _ _ _ _| _ _ _ _| _*_11_14_| _10_15_ _|,R
 _ _ _ _| _ _ _ _| _*_11_14_| _10_o_15_|,D
 _ _ _ _| _ _ _ _| _*_11_14_| _15_10_ _|,D
 _ _ _ _| _ _ _ _| _*_11_14_| _15_o_10_|,R
 _ _ _ _| _ _ _ _| _*_11_14_| _o_10_15_|,D
 _ _ _ _| _ _ _ _| _*_11_14_| _o_15_10_|,R
 _ _ _ _| _ _ _ _| _*_11_15_| _10_14_ _|,D
 _ _ _ _| _ _ _ _| _*_11_15_| _10_o_14_|,R
 _ _ _ _| _ _ _ _| _*_11_15_| _14_10_ _|,R
 _ _ _ _| _ _ _ _| _*_11_15_| _14_o_10_|,D
 _ _ _ _| _ _ _ _| _*_11_15_| _o_10_14_|,D
 _ _ _ _| _ _ _ _| _*_11_15_| _o_14_10_|,D
 _ _ _ _| _ _ _ _| _*_14_ _| _10_11_15_|,R
 _ _ _ _| _ _ _ _| _*_14_ _| _10_15_11_|,D
 _ _ _ _| _ _ _ _| _*_14_ _| _11_10_15_|,R
 _ _ _ _| _ _ _ _| _*_14_ _| _11_15_10_|,R
 _ _ _ _| _ _ _ _| _*_14_ _| _15_10_11_|,R
 _ _ _ _| _ _ _ _| _*_14_ _| _15_11_10_|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _11_15_ _|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _11_o_15_|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _15_11_ _|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _15_o_11_|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _o_11_15_|,R
 _ _ _ _| _ _ _ _| _*_14_10_| _o_15_11_|,R
 _ _ _ _| _ _ _ _| _*_14_11_| _10_15_ _|,D
 _ _ _ _| _ _ _ _| _*_14_11_| _10_o_15_|,D
 _ _ _ _| _ _ _ _| _*_14_11_| _15_10_ _|,R
 _ _ _ _| _ _ _ _| _*_14_11_| _15_o_10_|,R
 _ _ _ _| _ _ _ _| _*_14_11_| _o_10_15_|,R
 _ _ _ _| _ _ _ _| _*_14_11_| _o_15_10_|,R
 _ _ _ _| _ _ _ _| _*_14_15_| _10_11_ _|,D
 _ _ _ _| _ _ _ _| _*_14_15_| _10_o_11_|,D
 _ _ _ _| _ _ _ _| _*_14_15_| _11_10_ _|,R
 _ _ _ _| _ _ _ _| _*_14_15_| _11_o_10_|,R
 _ _ _ _| _ _ _ _| _*_14_15_| _o_10_11_|,R
 _ _ _ _| _ _ _ _| _*_14_15_| _o_11_10_|,R
 _ _ _ _| _ _ _ _| _*_15_ _| _10_11_14_|,R
 _ _ _ _| _ _ _ _| _*_15_ _| _10_14_11_|,D
 _ _ _ _| _ _ _ _| _*_15_ _| _11_10_14_|,D
 _ _ _ _| _ _ _ _| _*_15_ _| _11_14_10_|,D
 _ _ _ _| _ _ _ _| _*_15_ _| _14_10_11_|,R
 _ _ _ _| _ _ _ _| _*_15_ _| _14_11_10_|,D
 _ _ _ _| _ _ _ _| _*_15_10_| _11_14_ _|,D
 _ _ _ _| _ _ _ _| _*_15_10_| _11_o_14_|,R
 _ _ _ _| _ _ _ _| _*_15_10_| _14_11_ _|,D
 _ _ _ _| _ _ _ _| _*_15_10_| _14_o_11_|,D
 _ _ _ _| _ _ _ _| _*_15_10_| _o_11_14_|,R
 _ _ _ _| _ _ _ _| _*_15_10_| _o_14_11_|,R
 _ _ _ _| _ _ _ _| _*_15_11_| _10_14_ _|,D
 _ _ _ _| _ _ _ _| _*_15_11_| _10_o_14_|,D
 _ _ _ _| _ _ _ _| _*_15_11_| _14_10_ _|,R
 _ _ _ _| _ _ _ _| _*_15_11_| _14_o_10_|,D
 _ _ _ _| _ _ _ _| _*_15_11_| _o_10_14_|,D
 _ _ _ _| _ _ _ _| _*_15_11_| _o_14_10_|,D
 _ _ _ _| _ _ _ _| _*_15_14_| _10_11_ _|,R
